Class1,Property,object
http://data.gwsw.nl/1.6/totaal/Ontstoppingsstuk,isPartOf,http://data.gwsw.nl/1.6/totaal/Aansluiting
http://data.gwsw.nl/1.6/totaal/Verbindingsstuk,isPartOf,http://data.gwsw.nl/1.6/totaal/Transportleiding
http://data.gwsw.nl/1.6/totaal/Verbindingsstuk,isPartOf,http://data.gwsw.nl/1.6/totaal/Aansluiting
http://data.gwsw.nl/1.6/totaal/Maaiveldorientatie,hasConnection,http://data.gwsw.nl/1.6/totaal/Bouwwerkorientatie
http://data.gwsw.nl/1.6/totaal/Maaiveldorientatie,hasConnection,http://data.gwsw.nl/1.6/totaal/Putorientatie
http://data.gwsw.nl/1.6/totaal/Maaiveldorientatie,hasAspect,https://data.crow.nl/imbor/def/092C0FD0-CB1C-4161-9D52-2A182BCAE7A9
http://data.gwsw.nl/1.6/totaal/Maaiveldorientatie,hasAspect,https://data.crow.nl/imbor/def/BDB53BB7-DEFC-4055-B047-271C5EDDA82A
http://data.gwsw.nl/1.6/totaal/Maaiveldorientatie,hasConnection,http://data.gwsw.nl/1.6/totaal/Hulpstukorientatie
http://data.gwsw.nl/1.6/totaal/Kolk,isPartOf,http://data.gwsw.nl/1.6/totaal/Kolkaansluiting
http://data.gwsw.nl/1.6/totaal/Kolk,hasPart,http://data.gwsw.nl/1.6/totaal/Deksel
http://data.gwsw.nl/1.6/totaal/Kolk,hasPart,http://data.gwsw.nl/1.6/totaal/Stankscherm
http://data.gwsw.nl/1.6/totaal/Kolk,hasAspect,http://data.gwsw.nl/1.6/totaal/Aansluitingszijde
http://data.gwsw.nl/1.6/totaal/Kolk,hasPart,http://data.gwsw.nl/1.6/totaal/Uitklimvoorziening
http://data.gwsw.nl/1.6/totaal/Invoer,isAspectOf,http://data.gwsw.nl/1.6/totaal/Rioolput
http://data.gwsw.nl/1.6/totaal/Invoer,isAspectOf,http://data.gwsw.nl/1.6/totaal/Aansluitpunt
http://data.gwsw.nl/1.6/totaal/Aansluitput,hasAspect,http://data.gwsw.nl/1.6/totaal/Aansluitpunt
http://data.gwsw.nl/1.6/totaal/Aansluitpunt,hasAspect,http://data.gwsw.nl/1.6/totaal/Invoer
